IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
MARIIA,KOBIETA,44
MARIKA,KOBIETA,74
MARINA,KOBIETA,10
MARIUSZ,MĘŻCZYZNA,10
MARK,MĘŻCZYZNA,430
MARKIIAN,MĘŻCZYZNA,2
MARKO,MĘŻCZYZNA,25
MARKUS,MĘŻCZYZNA,7
MARLENA,KOBIETA,53
MARSEL,MĘŻCZYZNA,4
MARTA,KOBIETA,210
MARTIN,MĘŻCZYZNA,22
MARTYNA,KOBIETA,429
MARYAM,KOBIETA,2
MARYLA,KOBIETA,2
MARYSIA,KOBIETA,4
MATEI,MĘŻCZYZNA,2
MATEO,MĘŻCZYZNA,11
MATEUSZ,MĘŻCZYZNA,635
MATILDA,KOBIETA,2
MATTEO,MĘŻCZYZNA,7
MATVEY,MĘŻCZYZNA,4
MATVII,MĘŻCZYZNA,147
MATVIJ,MĘŻCZYZNA,8
MATVIY,MĘŻCZYZNA,15
MATWIEJ,MĘŻCZYZNA,2
MATYLDA,KOBIETA,713
MAURYCY,MĘŻCZYZNA,134
MAX,MĘŻCZYZNA,33
MAXIMILIAN,MĘŻCZYZNA,27
MAXYMILIAN,MĘŻCZYZNA,4
MAYA,KOBIETA,38
MAŁGORZATA,KOBIETA,220
MEGAN,KOBIETA,2
MELANIA,KOBIETA,379
MELANIIA,KOBIETA,11
MELANIYA,KOBIETA,2
MELIKE,KOBIETA,2
MELISA,KOBIETA,67
MELISSA,KOBIETA,24
MIA,KOBIETA,1070
MICHAEL,MĘŻCZYZNA,17
MICHAIL,MĘŻCZYZNA,2
MICHAL,MĘŻCZYZNA,2
MICHALINA,KOBIETA,2325
MICHAŁ,MĘŻCZYZNA,1830
MICHELLE,KOBIETA,24
MIECZYSŁAW,MĘŻCZYZNA,13
MIESZKO,MĘŻCZYZNA,302
MIHAIL,MĘŻCZYZNA,2
MIIA,KOBIETA,39
MIJA,KOBIETA,3
MIKAELLA,KOBIETA,2
MIKHAIL,MĘŻCZYZNA,14
MIKOŁAJ,MĘŻCZYZNA,3587
MILA,KOBIETA,70
MILAN,MĘŻCZYZNA,721
MILANA,KOBIETA,161
MILANO,MĘŻCZYZNA,2
MILENA,KOBIETA,855
MILO,MĘŻCZYZNA,6
MINH ANH,KOBIETA,4
MINH DUC,MĘŻCZYZNA,2
MIRA,KOBIETA,37
MIRAN,MĘŻCZYZNA,2
MIRANA,KOBIETA,2
MIRELLA,KOBIETA,2
MIRIAM,KOBIETA,14
MIRON,MĘŻCZYZNA,53
MIROSLAV,MĘŻCZYZNA,2
MIROSLAVA,KOBIETA,9
MIROSŁAW,MĘŻCZYZNA,8
MISHEL,KOBIETA,6
MIYA,KOBIETA,7
MIŁA,KOBIETA,2
MIŁANA,KOBIETA,2
MIŁOSZ,MĘŻCZYZNA,1624
MIŁOSŁAW,MĘŻCZYZNA,2
MIŁOSŁAWA,KOBIETA,8
MOHAMED,MĘŻCZYZNA,2
MONIKA,KOBIETA,79
MUAZ,MĘŻCZYZNA,2
MUHAMMAD,MĘŻCZYZNA,6
MYKHAIL,MĘŻCZYZNA,3
MYKHAILO,MĘŻCZYZNA,51
MYKYTA,MĘŻCZYZNA,2
MYRON,MĘŻCZYZNA,16
MYROSLAV,MĘŻCZYZNA,14
MYROSLAVA,KOBIETA,16
NADIA,KOBIETA,1171
NADZIEJA,KOBIETA,10
NALA,KOBIETA,4
NAOMI,KOBIETA,11
NASTIA,KOBIETA,6
NATALIA,KOBIETA,1015
NATAN,MĘŻCZYZNA,845
NATANAEL,MĘŻCZYZNA,2
NATANIEL,MĘŻCZYZNA,151
NATASZA,KOBIETA,4
NATHAN,MĘŻCZYZNA,7
NATHANIEL,MĘŻCZYZNA,2
NAWOJKA,KOBIETA,2
NAZAR,MĘŻCZYZNA,30
NAZARII,MĘŻCZYZNA,6
NEL,KOBIETA,340
NELA,KOBIETA,1567
NELIA,KOBIETA,24
NELLA,KOBIETA,2
NEONILA,KOBIETA,2
NICO,MĘŻCZYZNA,2
NICOL,KOBIETA,2
NICOLA,KOBIETA,17
NICOLAS,MĘŻCZYZNA,18
NICOLE,KOBIETA,26
NIKA,KOBIETA,18
NIKITA,MĘŻCZYZNA,33
NIKO,MĘŻCZYZNA,8
NIKODEM,MĘŻCZYZNA,6256
NIKOL,KOBIETA,36
NIKOLA,KOBIETA,682
NIKOLAS,MĘŻCZYZNA,7
NIKOLETTA,KOBIETA,2
NIKOLINA,KOBIETA,2
NILA,KOBIETA,2
NINA,KOBIETA,700
NOAH,MĘŻCZYZNA,23
NOE,MĘŻCZYZNA,13
NOEL,MĘŻCZYZNA,15
NOELIA,KOBIETA,15
NOEMI,KOBIETA,94
NOLAN,MĘŻCZYZNA,2
NORBERT,MĘŻCZYZNA,19
OFELIA,KOBIETA,18
OKTAWIA,KOBIETA,20
OKTAWIAN,MĘŻCZYZNA,16
OLA,KOBIETA,4
OLAF,MĘŻCZYZNA,325
OLEK,MĘŻCZYZNA,12
OLEKSANDER,MĘŻCZYZNA,2
OLEKSANDR,MĘŻCZYZNA,79
OLEKSANDRA,KOBIETA,26
OLEKSII,MĘŻCZYZNA,4
OLGA,KOBIETA,106
OLGIERD,MĘŻCZYZNA,40
OLHA,KOBIETA,2
OLIMPIA,KOBIETA,17
OLIVER,MĘŻCZYZNA,57
OLIVIA,KOBIETA,171
OLIVIER,MĘŻCZYZNA,110
OLIVIIA,KOBIETA,33
OLIWER,MĘŻCZYZNA,27
OLIWIA,KOBIETA,3338
OLIWIER,MĘŻCZYZNA,2430
OMAR,MĘŻCZYZNA,2
OREST,MĘŻCZYZNA,21
ORIANA,KOBIETA,2
ORION,MĘŻCZYZNA,4
OSCAR,MĘŻCZYZNA,8
OSKAR,MĘŻCZYZNA,1610
OSTAP,MĘŻCZYZNA,5
OTTO,MĘŻCZYZNA,3
OTYLIA,KOBIETA,24
PATRYCJA,KOBIETA,87
PATRYK,MĘŻCZYZNA,242
PAULA,KOBIETA,18
PAULINA,KOBIETA,209
PAVEL,MĘŻCZYZNA,5
PAVLO,MĘŻCZYZNA,6
PAWEL,MĘŻCZYZNA,2
PAWEŁ,MĘŻCZYZNA,407
PEDRO,MĘŻCZYZNA,2
PHƯƠNG ANH,KOBIETA,2
PIOTR,MĘŻCZYZNA,1331
PLATON,MĘŻCZYZNA,8
POLA,KOBIETA,3099
POLINA,KOBIETA,60
PRZEMYSŁAW,MĘŻCZYZNA,135
RADOMIR,MĘŻCZYZNA,2
RADOSŁAW,MĘŻCZYZNA,106
RAFAEL,MĘŻCZYZNA,6
RAFAŁ,MĘŻCZYZNA,156
RAGNAR,MĘŻCZYZNA,2
RAISA,KOBIETA,2
RAJMUND,MĘŻCZYZNA,2
RAYAN,MĘŻCZYZNA,4
REGINA,KOBIETA,2
REMIGIUSZ,MĘŻCZYZNA,239
RENATA,KOBIETA,2
RICARDO,MĘŻCZYZNA,2
RICHARD,MĘŻCZYZNA,2
RITA,KOBIETA,208
ROBERT,MĘŻCZYZNA,181
ROCH,MĘŻCZYZNA,26
ROKSANA,KOBIETA,22
ROLAND,MĘŻCZYZNA,2
ROMA,KOBIETA,29
ROMAN,MĘŻCZYZNA,72
ROMEO,MĘŻCZYZNA,3
RONJA,KOBIETA,2
ROSA,KOBIETA,2
ROSE,KOBIETA,2
ROZALIA,KOBIETA,1422
RUPERT,MĘŻCZYZNA,2
RUSLAN,MĘŻCZYZNA,6
RUTA,KOBIETA,2
RYAN,MĘŻCZYZNA,5
RYSZARD,MĘŻCZYZNA,241
RÓŻA,KOBIETA,1109
SABINA,KOBIETA,22
SABRINA,KOBIETA,5
SAFIA,KOBIETA,2
SAFIYA,KOBIETA,2
SALIH,MĘŻCZYZNA,2
SALMA,KOBIETA,2
SAM,MĘŻCZYZNA,2
SAMANTA,KOBIETA,4
SAMANTHA,KOBIETA,2
SAMI,MĘŻCZYZNA,2
SAMIRA,KOBIETA,2
SAMUEL,MĘŻCZYZNA,124
SANDRA,KOBIETA,71
SANTIAGO,MĘŻCZYZNA,5
SARA,KOBIETA,776
SEBASTIAN,MĘŻCZYZNA,181
SELENA,KOBIETA,12
SEM,MĘŻCZYZNA,2
SEMIR,MĘŻCZYZNA,2
SERAFIN,MĘŻCZYZNA,2
SERHII,MĘŻCZYZNA,5
SEWERYN,MĘŻCZYZNA,49
SIMON,MĘŻCZYZNA,3
SOFI,KOBIETA,2
